# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0135615
200 0.112361
300 0.307778
400 0.534213
500 0.766641
600 1.0196
700 1.29089
800 1.57659
900 1.87191
1000 2.16942
1100 2.45902
1200 2.74934
1300 3.05394
1400 3.36201
1500 3.67483
1600 3.98588
1700 4.28913
1800 4.59243
1900 4.88293
2000 5.16472
2100 5.45353
2200 5.76229
2300 6.08038
2400 6.38744
2500 6.69147
2600 7.02047
2700 7.36694
2800 7.71057
2900 8.04479
3000 8.38227
3100 8.70653
3200 9.00271
3300 9.27533
3400 9.53817
3500 9.80241
3600 10.0553
3700 10.3103
3800 10.576
3900 10.8379
4000 11.088
4100 11.3456
4200 11.6214
4300 11.931
4400 12.2772
4500 12.6371
4600 12.9764
4700 13.2903
4800 13.5671
4900 13.8398
5000 14.1372
5100 14.4592
5200 14.7756
5300 15.0608
5400 15.33
5500 15.6395
5600 16.006
5700 16.3856
5800 16.762
5900 17.1387
6000 17.4766
6100 17.7545
6200 18.0081
6300 18.2775
6400 18.584
6500 18.9208
6600 19.2396
6700 19.5307
6800 19.8118
6900 20.0809
7000 20.3654
7100 20.6965
7200 21.0521
7300 21.3662
7400 21.6036
7500 21.7703
7600 21.9337
7700 22.1801
7800 22.5103
7900 22.8696
8000 23.2123
8100 23.5377
8200 23.8557
8300 24.1909
8400 24.53
8500 24.8487
8600 25.1532
8700 25.4647
8800 25.7608
8900 26.0187
9000 26.2577
9100 26.5196
9200 26.826
9300 27.137
9400 27.4063
9500 27.6691
9600 27.9374
9700 28.1769
9800 28.3857
9900 28.6272
10000 28.9204
10100 29.2642
10200 29.6628
10300 30.0736
10400 30.4535
10500 30.8121
10600 31.1554
10700 31.4725
10800 31.7474
10900 31.9611
11000 32.1016
11100 32.2068
11200 32.3433
11300 32.5999
11400 32.9784
11500 33.3794
11600 33.7039
11700 33.9509
11800 34.1687
11900 34.4631
12000 34.8893
12100 35.3541
12200 35.7757
12300 36.122
12400 36.4314
12500 36.7289
12600 37.0421
12700 37.3829
12800 37.7821
12900 38.2028
13000 38.6127
13100 39.0062
13200 39.3975
13300 39.7925
13400 40.1942
13500 40.5861
13600 40.966
13700 41.3351
13800 41.6578
13900 41.9207
14000 42.1536
14100 42.3867
14200 42.6489
14300 42.9508
14400 43.246
14500 43.5085
14600 43.7583
14700 44.0308
14800 44.343
14900 44.6677
15000 45.0013
15100 45.3232
15200 45.6186
15300 45.867
15400 46.0901
15500 46.3041
15600 46.5128
15700 46.7273
15800 46.9929
15900 47.3085
16000 47.633
16100 47.9047
16200 48.1414
16300 48.4479
16400 48.8561
16500 49.3015
16600 49.7135
16700 50.0826
16800 50.432
16900 50.7576
17000 51.0423
17100 51.3314
17200 51.6869
17300 52.1093
17400 52.5243
17500 52.8793
17600 53.2484
17700 53.7045
17800 54.2272
17900 54.7091
18000 55.0979
18100 55.3761
18200 55.5797
18300 55.7943
18400 56.0901
18500 56.4438
18600 56.7404
18700 56.952
18800 57.121
18900 57.2711
19000 57.3951
19100 57.4655
19200 57.5262
19300 57.6829
19400 57.955
19500 58.3094
19600 58.6749
19700 59.0073
19800 59.3039
19900 59.5818
20000 59.8232
20100 59.981
20200 60.1285
20300 60.3618
20400 60.6862
20500 61.0261
20600 61.3285
20700 61.6072
20800 61.9111
20900 62.2754
21000 62.6466
21100 62.9917
21200 63.2661
21300 63.5197
21400 63.8719
21500 64.3391
21600 64.7457
21700 65.012
21800 65.2606
21900 65.647
22000 66.2147
22100 66.8312
22200 67.2988
22300 67.5809
22400 67.8087
22500 68.164
22600 68.6723
22700 69.2066
22800 69.6599
22900 70.0552
23000 70.4357
23100 70.831
23200 71.283
23300 71.7147
23400 72.0473
23500 72.2239
23600 72.2886
23700 72.4275
23800 72.7393
23900 73.1273
24000 73.5104
24100 73.8402
24200 74.1176
24300 74.3844
24400 74.692
24500 75.0513
24600 75.405
24700 75.7016
24800 75.937
24900 76.1935
25000 76.6025
25100 77.1344
25200 77.6216
25300 77.9244
25400 78.0971
25500 78.2251
