# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
250000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 3.48183e-05 1.6e-06
17 0.99 0.00063545 3.49333e-05
18 1.05 0.0040741 0.0002736
19 1.11 0.00858636 0.000829333
20 1.17 0.00980021 0.00153413
21 1.23 0.0117546 0.00246853
22 1.29 0.0134712 0.00364373
23 1.35 0.0179982 0.00535413
24 1.41 0.0244327 0.00788213
25 1.47 0.0333366 0.0116187
26 1.53 0.0500516 0.0176824
27 1.59 0.0721262 0.0270619
28 1.65 0.109389 0.0423427
29 1.71 0.160574 0.0663557
30 1.77 0.231657 0.103316
31 1.83 0.322955 0.158237
32 1.89 0.436533 0.237196
33 1.95 0.567487 0.346282
34 2.01 0.711255 0.49118
35 2.07 0.864119 0.677266
36 2.13 1.01729 0.908691
37 2.19 1.15394 1.18545
38 2.25 1.26574 1.50512
39 2.31 1.35468 1.86496
40 2.37 1.41841 2.26085
41 2.43 1.4541 2.68678
42 2.49 1.46814 3.13741
43 2.55 1.45896 3.60642
44 2.61 1.43318 4.08839
45 2.67 1.38816 4.57644
46 2.73 1.34427 5.06997
47 2.79 1.29468 5.56588
48 2.85 1.23952 6.06089
49 2.91 1.18928 6.55582
50 2.97 1.14435 7.05169
51 3.03 1.09922 7.54732
52 3.09 1.05949 8.044
53 3.15 1.02242 8.54228
54 3.21 0.988089 9.04242
55 3.27 0.958701 9.54599
56 3.33 0.934048 10.0551
57 3.39 0.914576 10.572
58 3.45 0.901934 11.1002
59 3.51 0.891249 11.6408
60 3.57 0.8862 12.1972
61 3.63 0.882307 12.7706
62 3.69 0.88098 13.3627
63 3.75 0.886002 13.978
64 3.81 0.892985 14.6186
65 3.87 0.899704 15.2846
66 3.93 0.909753 15.9796
67 3.99 0.922264 16.7062
68 4.05 0.935014 17.4653
69 4.11 0.948585 18.2587
70 4.17 0.962635 19.0876
71 4.23 0.973567 19.9506
72 4.29 0.986569 20.8502
73 4.35 0.997756 21.7856
74 4.41 1.01008 22.7589
75 4.47 1.01981 23.7682
76 4.53 1.02935 24.8142
77 4.59 1.03618 25.895
78 4.65 1.04137 27.0094
79 4.71 1.04352 28.1548
80 4.77 1.04366 29.3293
81 4.83 1.04424 30.534
82 4.89 1.04347 31.7673
83 4.95 1.04178 33.0286
84 5.01 1.03917 34.317
85 5.07 1.03444 35.6302
86 5.13 1.02947 36.9676
87 5.19 1.027 38.3329
88 5.25 1.021 39.7217
89 5.31 1.01722 41.1368
90 5.37 1.01432 42.5797
91 5.43 1.00737 44.0452
92 5.49 1.00316 45.5368
93 5.55 0.997803 47.0531
94 5.61 0.994789 48.5978
95 5.67 0.992563 50.1722
96 5.73 0.991419 51.7786
97 5.79 0.990031 53.417
98 5.85 0.98828 55.0867
99 5.91 0.986427 56.7881
100 5.97 0.986702 58.5248
