# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en
500 0.38754 0.676286 1367.09
1000 0.404102 0.66821 1416.93
1500 0.402512 0.666885 1413.63
2000 0.402044 0.663724 1412.66
2500 0.398219 0.666524 1412.36
3000 0.396197 0.662487 1426.03
3500 0.39145 0.663324 1419.95
4000 0.401703 0.661977 1411.42
4500 0.412812 0.662433 1410.47
5000 0.398134 0.661503 1393.87
5500 0.403637 0.660763 1399.4
6000 0.398545 0.664786 1393.29
6500 0.39973 0.654095 1405.03
7000 0.400653 0.651999 1403.88
7500 0.399537 0.650398 1401.61
8000 0.399575 0.651574 1392.93
8500 0.399584 0.648213 1378.02
9000 0.399103 0.641535 1383.7
9500 0.404684 0.641825 1377.37
10000 0.398181 0.641912 1369.38
10500 0.393748 0.642488 1365.53
11000 0.396578 0.637538 1351.42
11500 0.398506 0.633958 1355.57
12000 0.395912 0.631504 1354.95
12500 0.396992 0.629209 1345.07
13000 0.393277 0.621874 1340.88
13500 0.400855 0.623407 1333.72
14000 0.399922 0.618234 1335.61
14500 0.395295 0.613718 1331.86
15000 0.396549 0.607782 1332.73
15500 0.405111 0.614598 1313.17
16000 0.398604 0.607254 1311.63
16500 0.399571 0.609337 1314.18
17000 0.402484 0.599772 1305.49
17500 0.39847 0.596075 1295.84
18000 0.403649 0.591578 1289.37
18500 0.398355 0.587536 1288.64
19000 0.409194 0.584628 1274.41
19500 0.404061 0.577918 1285.46
20000 0.4048 0.578233 1266.32
20500 0.398513 0.576063 1252.54
21000 0.399662 0.573695 1239.55
21500 0.397595 0.566995 1236.92
22000 0.406197 0.566671 1227.73
22500 0.395252 0.560352 1217.76
23000 0.403713 0.554722 1216.8
23500 0.405417 0.550542 1222.44
24000 0.391515 0.548191 1212.05
24500 0.403509 0.546883 1202.75
25000 0.40418 0.545225 1192.01
25500 0.406775 0.540746 1191.15
26000 0.399118 0.537456 1184.06
26500 0.39789 0.535195 1168.01
27000 0.401274 0.529532 1167.38
27500 0.409513 0.527259 1154.79
28000 0.405467 0.527043 1148.95
28500 0.397937 0.52236 1137.55
29000 0.396029 0.518057 1139.22
29500 0.401244 0.511947 1144.78
30000 0.397103 0.512007 1131.66
30500 0.400756 0.506626 1126.69
31000 0.395234 0.506702 1119.51
31500 0.402208 0.50326 1112.27
32000 0.393899 0.495861 1120.44
32500 0.404203 0.498496 1116.29
33000 0.39469 0.49341 1101.92
33500 0.404351 0.495013 1082.26
34000 0.395417 0.488568 1090.05
34500 0.404705 0.488042 1085.11
35000 0.400885 0.485574 1075.22
35500 0.391517 0.479814 1077.3
36000 0.397549 0.479978 1063.59
36500 0.402078 0.481286 1058.12
37000 0.392277 0.473768 1062.27
37500 0.396312 0.472935 1050.57
38000 0.402999 0.468777 1048.66
38500 0.396831 0.468202 1048.09
39000 0.404358 0.462036 1040.08
39500 0.398614 0.46332 1030.17
40000 0.402486 0.460909 1033.18
40500 0.391857 0.456205 1030.55
41000 0.397078 0.454122 1023.17
41500 0.403228 0.452628 1026.65
42000 0.39474 0.449633 1011.59
42500 0.399142 0.44733 1012.35
43000 0.402115 0.446802 1002.79
43500 0.400518 0.444843 997.883
44000 0.39552 0.441556 998.581
44500 0.400041 0.437237 989.639
45000 0.400491 0.435132 985.462
45500 0.401252 0.431408 975.629
46000 0.403892 0.428691 977.981
46500 0.399002 0.428043 966.91
47000 0.407675 0.429048 968.819
